Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
RUT,10.90,3.58,34.53%,5.27M,-4.73%,205.77M,9.67,14.45%,-0.28%,3.45M,-25.32%,19.92M,-,0.88,49.47%,2.22%,-34.55%,430.53M,0.48,67.30%,7.71%,2.65,-1.98%,30.72,1.27,7.32%,0.08M,14.18%,2.24,17.45,-,13.04%,28.81 - 65.87,-28.14%,-,9.91,-,9.07%,-40.72%,0.24,0.64 (1.64%),1.14,0.81%,21.38%,35.57%,2.21,"Mar 26, 2025",2.93,27.88%,5.34%,32.09,4.01% 4.39%,1500,0.41,7.75%,4.63%,1.00,61.00,No / Yes,0.36,183.02%,31.45%,0.20,38.98,3.70%,28.38%,8.37%,Feb 03 AMC,28.93K,39.05,-11.48%,-20.02%,-14.31%,,"1,412",0.18%,FLXS
RUT,12.74,1.87,8.19%,13.70M,-2.61%,327.03M,11.66,10.68%,-0.06%,12.58M,-8.40%,25.51M,-,0.42,27.44%,0.75%,-27.49%,178.38M,1.83,-2.63%,3.49%,4.83,-9.65%,24.47,0.98,0.77%,0.09M,20.25%,-,-,-,7.83%,18.99 - 34.15,-18.95%,0.90 (3.77%),10.19,2.74%,4.10%,-30.10%,0.76,0.88 (3.70%),-,17.95%,-,25.70%,0.83,"Dec 27, 2024",0.10,12.44%,18.76%,37.84,3.30% 3.09%,473,0.94,15.00%,14.30%,3.00,28.75,Yes / Yes,0.85,47.11%,46.56%,0.25,23.46,2.84%,26.42%,8.77%,Feb 12 AMC,19.40K,23.87,-3.85%,-8.68%,-10.61%,,"1,207",1.75%,FMAO
RUT,10.72,3.30,15.20%,23.90M,-3.26%,847.53M,9.31,5.18%,0.01%,20.34M,-7.66%,78.90M,-,0.94,44.66%,0.50%,-14.66%,453.25M,1.87,9.39%,2.91%,1.72,-7.80%,35.42,1.00,1.04%,0.10M,15.15%,-,-,-,9.62%,28.86 - 43.86,-4.02%,0.97 (2.75%),-,2.85%,7.08%,-19.42%,0.84,0.95 (2.69%),-,17.68%,-,22.45%,1.09,"Feb 13, 2025",0.03,3.88%,23.03%,33.79,2.97% 2.82%,1198,0.68,17.70%,17.41%,2.00,44.71,Yes / Yes,0.32,6.13%,28.47%,0.22,34.98,3.10%,-3.11%,4.57%,Jan 23 BMO,58.93K,35.34,-4.78%,-5.04%,-5.80%,,"3,170",1.03%,FMBH
RUT,10.68,1.22,4.37%,37.59M,-5.22%,491.62M,8.41,6.88%,-0.72%,35.97M,-7.83%,45.95M,-,0.34,40.35%,0.61%,-17.28%,269.51M,1.82,19.13%,4.07%,2.54,-12.28%,10.80,1.21,0.90%,0.22M,-0.27%,-,-,-,11.34%,11.55 - 16.32,-8.09%,0.68 (5.20%),8.99,-0.92%,9.18%,-19.91%,0.79,0.68 (5.20%),-,16.40%,-,13.16%,0.34,"Mar 14, 2025",0.02,-7.98%,20.60%,32.70,2.82% 2.32%,682,0.99,5.55%,17.05%,2.67,16.00,Yes / Yes,0.23,-1.49%,55.51%,0.19,13.10,-0.45%,10.69%,3.31%,Jan 29 BMO,86.28K,13.07,-6.49%,-5.34%,-7.75%,,"4,006",-0.23%,FMNB
-,10.53,1.27,1.39%,359.62M,-3.13%,4.79B,7.90,19.68%,-2.67%,354.73M,-12.94%,458.86M,-,0.30,80.99%,2.76%,-17.57%,2.58B,1.86,1.35%,1.60%,3.76,-3.34%,17.52,0.76,0.98%,9.79M,-1.26%,-,-,-,7.53%,12.49 - 17.70,-9.88%,0.50 (3.73%),8.45,1.72%,5.71%,-24.75%,0.90,0.48 (3.60%),-,12.31%,-,6.65%,0.39,"Mar 03, 2025",0.07,-3.89%,22.33%,31.43,3.04% 2.62%,4104,0.72,15.34%,17.77%,1.38,18.50,Yes / Yes,0.28,125.47%,37.92%,0.51,13.11,-8.54%,16.03%,11.07%,Jan 22 BMO,2.60M,13.32,-6.68%,-10.63%,-9.06%,,"322,063",1.60%,FNB
-,13.70,4.66,5.55%,275.00M,1.30%,17.54B,9.16,17.14%,-0.04%,259.73M,12.17%,1.27B,0.73,1.10,81.15%,1.06%,5.95%,13.71B,1.28,28.29%,1.80%,2.46,9.27%,28.20,2.26,1.61%,2.75M,25.70%,-,-,18.66%,17.32%,46.85 - 65.65,13.59%,1.92 (3.01%),2.41,3.94%,10.56%,-2.86%,1.11,1.94 (3.04%),-,12.88%,-,36.12%,1.46,"Mar 17, 2025",-,144.11%,14.46%,63.15,2.77% 2.29%,23533,0.61,16.32%,9.26%,2.00,70.80,Yes / Yes,0.55,747.45%,41.70%,0.54,63.21,8.77%,10.19%,5.35%,Feb 20 AMC,1.11M,63.77,3.64%,8.11%,11.13%,,"148,638",0.89%,FNF
RUT,5.95,3.57,62.55%,50.67M,-4.34%,1.08B,5.25,13.26%,0.01%,18.98M,-6.85%,181.80M,1.08,0.79,35.83%,2.99%,-24.79%,1.45B,0.74,-10.68%,-0.80%,2.80,-29.95%,31.84,0.67,6.62%,0.57M,-42.20%,2.60,8.16,5.53%,12.04%,20.70 - 40.92,-18.03%,-,-,38.51%,7.48%,-48.08%,1.51,-,-,34.81%,23.89%,2.64%,0.67,-,-,-2.38%,38.09%,36.94,2.89% 2.96%,393,0.51,-4.72%,12.50%,1.50,33.25,Yes / Yes,0.51,-57.33%,0.00%,0.18,21.07,-23.84%,-54.19%,-18.14%,Jan 21 BMO,202.81K,21.25,-4.74%,-10.11%,-26.82%,,"9,129",0.84%,FOR
S&P 500,10.24,4.67,70.96%,235.58M,-7.22%,22.58B,12.02,-8.69%,-0.39%,131.65M,-6.95%,2.19B,0.93,0.90,28.37%,2.46%,8.98%,15.18B,1.49,27.18%,-3.79%,2.82,31.42%,25.30,1.89,9.53%,3.24M,78.44%,7.04,6.80,11.04%,20.09%,26.56 - 55.00,4.67%,0.54 (1.13%),12.28,4.01%,11.53%,-12.95%,0.64,0.54 (1.13%),2.14,4.33%,34.05%,80.25%,1.27,"Mar 05, 2025",2.50,177.70%,20.37%,35.57,2.96% 2.54%,10200,0.71,4.29%,14.39%,2.52,56.97,Yes / Yes,0.65,257.10%,16.63%,0.58,47.12,4.27%,38.65%,19.93%,Feb 04 BMO,1.15M,47.88,-7.67%,-3.23%,17.36%,,"163,524",1.60%,FOX
S&P 500,11.10,4.67,52.41%,218.78M,-6.84%,22.58B,12.97,-8.36%,-0.57%,215.80M,-5.19%,2.19B,1.01,0.89,53.49%,7.86%,11.84%,15.18B,1.49,27.17%,-4.07%,4.32,31.62%,25.30,2.05,9.53%,16.97M,76.04%,7.63,6.80,11.01%,20.09%,29.14 - 58.74,6.75%,0.54 (1.04%),12.28,4.01%,11.53%,-11.71%,0.57,0.54 (1.04%),2.14,4.33%,34.05%,77.97%,1.37,"Mar 05, 2025",2.50,177.70%,20.37%,38.68,2.97% 2.52%,10200,0.71,4.29%,14.39%,2.46,57.26,Yes / Yes,0.65,257.10%,16.63%,0.51,51.04,4.81%,41.09%,19.93%,Feb 04 BMO,3.93M,51.86,-6.74%,-1.31%,18.83%,,"493,400",1.61%,FOXA
RUT,8.79,1.67,14.05%,25.10M,-2.14%,368.21M,8.25,8.11%,-,21.60M,-3.62%,42.24M,-,0.39,41.94%,0.22%,-1.61%,228.42M,1.61,-1.60%,-0.33%,0.88,-0.07%,16.30,0.90,1.14%,0.05M,11.92%,-,-,-,10.83%,11.20 - 15.87,4.12%,0.26 (1.77%),4.86,19.22%,6.16%,-7.69%,0.76,0.24 (1.64%),-,22.37%,-,30.80%,0.38,"Feb 07, 2025",0.25,69.42%,23.69%,44.72,2.36% 2.93%,318,0.68,31.85%,18.49%,1.00,17.67,Yes / Yes,0.68,22.75%,14.37%,0.03,14.54,2.16%,5.64%,17.43%,Jan 23 AMC,54.71K,14.65,-1.91%,-0.00%,2.30%,,367,0.76%,FRBA
-,6.88,2.23,35.70%,222.62M,-7.63%,3.41B,4.92,33.74%,0.00%,143.15M,-13.47%,495.58M,0.36,0.25,24.00%,6.23%,3.27%,2.05B,1.66,4.33%,-11.09%,2.66,-31.29%,10.51,1.46,8.19%,8.92M,-32.47%,1.88,8.17,19.06%,21.46%,13.17 - 29.39,7.93%,2.30 (15.03%),-,22.56%,8.81%,-47.89%,0.20,1.95 (12.73%),1.43,24.97%,34.42%,16.29%,0.73,"Mar 14, 2025",1.39,-24.50%,32.66%,41.57,3.61% 3.96%,88,1.60,13.77%,24.17%,1.00,24.64,Yes / Yes,1.40,-43.61%,87.44%,1.29,15.63,56.40%,21.90%,2.56%,Feb 28 BMO,3.35M,15.31,-5.50%,-7.92%,-25.85%,,"1,055,118",-2.02%,FRO
RUT,8.17,4.40,15.71%,7.73M,-5.45%,280.72M,7.84,10.10%,0.00%,6.59M,-7.31%,34.59M,-,0.93,64.21%,0.63%,-21.51%,206.83M,1.36,-4.59%,1.02%,2.88,-14.48%,38.26,0.94,1.15%,0.04M,11.00%,-,-,-,12.35%,30.64 - 49.15,-12.54%,1.12 (3.12%),13.46,11.74%,5.25%,-26.94%,0.79,1.08 (3.01%),-,13.44%,-,17.20%,1.11,"Feb 06, 2025",0.05,-2.90%,20.10%,34.17,3.59% 2.49%,562,1.23,9.75%,16.72%,2.33,46.50,No / Yes,1.23,-25.43%,24.31%,0.71,36.23,-1.67%,-11.82%,3.97%,Jan 21 AMC,14.47K,35.91,-5.51%,-9.01%,-12.64%,,"2,530",-0.88%,FSBW
