Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
-,9.63,1.11,1.43%,657.57M,-18.11%,7.02B,3.67,37.35%,-1.61%,648.18M,-34.38%,846.00M,0.45,-0.51,68.36%,9.37%,-38.99%,54.21B,0.13,7.99%,22.71%,1.58,-0.93%,-6.05,-,1.36%,60.71M,-23.57%,11.73,0.91,21.53%,-,9.07 - 19.10,-38.78%,-,5.40,-20.93%,3.12%,-44.14%,1.18,-,0.43,16.92%,21.15%,17.64%,0.68,"Feb 04, 2020",0.54,2.20%,5.95%,16.37,6.46% 4.75%,133300,-,2.70%,1.56%,2.00,19.15,Yes / Yes,-,2721.11%,0.00%,1.31,10.67,1.74%,29.83%,4.58%,Jan 23 BMO,38.39M,10.67,-23.09%,-33.06%,-19.18%,,"12,099,088",0.00%,AAL
RUT,10.84,2.23,1.81%,37.48M,-0.16%,907.31M,7.32,20.40%,-9.35%,36.81M,-3.97%,85.00M,-,0.49,101.03%,1.18%,-20.32%,515.30M,1.76,-0.54%,1.33%,2.18,3.60%,0.53,45.35,12.92%,0.44M,6.42%,2.63,9.21,-,282.39%,21.45 - 31.52,-8.12%,0.04 (0.17%),9.07,-1.99%,24.14%,-23.22%,1.38,0.04 (0.17%),-,-6.85%,96.24%,12.82%,0.77,"Mar 14, 2025",-,42.43%,28.43%,45.04,3.38% 3.01%,383,17.08,18.73%,16.50%,3.67,25.67,Yes / Yes,16.61,109.20%,1.80%,0.55,23.93,14.02%,46.89%,23.71%,Feb 06 BMO,200.39K,24.20,-1.89%,-3.09%,-4.44%,,"26,260",1.13%,AAMI
RUT,10.47,21.52,1.60%,19.58M,-11.56%,4.43B,8.34,2.50%,-1.82%,19.33M,-25.13%,430.30M,-,6.54,110.27%,7.75%,-12.21%,17.19B,0.26,-3.23%,-2.15%,7.84,5.07%,178.83,1.26,4.15%,1.50M,6.89%,4.27,52.84,-,12.76%,202.98 - 312.56,-7.26%,-,22.56,17.63%,6.40%,-27.89%,1.03,-,0.41,21.15%,16.72%,11.04%,9.03,"Jul 30, 2008",1.11,-24.72%,5.73%,22.26,4.22% 3.13%,15000,1.45,16.11%,2.50%,2.88,283.00,Yes / Yes,0.92,141.50%,0.00%,0.67,227.02,8.17%,20.20%,18.18%,Jan 30 BMO,191.14K,225.39,-14.92%,-15.53%,-8.36%,,"30,764",-0.72%,ABG
RUT,10.92,1.14,3.79%,189.26M,1.43%,2.35B,9.45,10.74%,0.07%,182.32M,-9.25%,223.27M,-,0.29,58.94%,34.52%,-13.85%,1.44B,1.64,-31.84%,0.62%,18.70,-7.70%,12.63,0.98,1.81%,62.94M,-4.72%,3.48,3.56,-,8.62%,11.43 - 15.94,-10.43%,1.24 (10.02%),4.97,-1.47%,2.20%,-22.18%,1.59,1.72 (13.87%),-,22.77%,98.82%,8.53%,0.46,"Mar 07, 2025",-,-33.80%,80.92%,45.51,4.06% 4.24%,659,3.30,-11.26%,15.56%,3.40,12.62,Yes / Yes,2.35,-33.71%,145.75%,1.05,12.06,0.95%,6.67%,-17.36%,Feb 21 BMO,3.37M,12.40,-0.70%,-5.58%,-11.18%,,"850,580",2.86%,ABR
-,10.54,2.78,2.63%,91.78M,-4.29%,2.72B,9.63,13.35%,0.00%,90.47M,-29.12%,255.61M,-,0.39,108.37%,5.66%,-26.61%,3.15B,0.86,-18.78%,1.65%,2.69,-62.05%,33.49,0.87,4.52%,5.12M,-63.57%,0.82,35.63,-1.36%,8.73%,27.61 - 82.40,-26.20%,-,-,17.49%,5.05%,-64.49%,1.15,-,0.99,9.50%,22.57%,5.98%,1.89,-,1.00,1321.36%,16.56%,29.21,5.38% 5.02%,25500,0.68,7.69%,8.10%,1.46,48.31,Yes / Yes,0.65,-43.57%,0.00%,0.54,28.17,-0.61%,-10.44%,4.23%,Feb 27 AMC,1.90M,29.26,-15.52%,-26.96%,-46.96%,,"247,429",3.87%,ACHC
-,11.93,1.78,27.68%,579.36M,-1.08%,12.30B,9.22,0.40%,0.00%,418.99M,-1.54%,1.04B,-,0.41,51.97%,2.20%,14.68%,79.93B,0.15,-20.39%,3.96%,1.38,14.56%,5.81,3.65,3.90%,9.20M,1.37%,0.39,54.83,-5.93%,35.20%,17.00 - 21.67,8.08%,0.52 (2.44%),13.55,52.11%,6.16%,-2.04%,0.48,0.51 (2.40%),0.21,6.20%,25.80%,24.87%,0.54,"Jan 24, 2025",0.93,-24.43%,2.63%,55.53,3.23% 2.47%,285000,4.22,0.97%,1.30%,2.09,23.25,Yes / Yes,4.00,10.27%,21.54%,0.18,21.19,-0.19%,8.17%,1.17%,Jan 08 BMO,6.69M,21.23,1.98%,3.84%,8.00%,,"282,705",0.18%,ACI
RUT,7.60,1.57,50.05%,48.20M,-0.87%,574.40M,7.44,6.67%,-0.20%,24.10M,0.72%,75.72M,-,0.40,28.20%,3.32%,-11.11%,303.26M,1.89,-3.85%,16.50%,5.04,15.88%,4.89,2.44,11.04%,0.80M,15.88%,-,-,-,37.69%,8.49 - 14.52,-8.14%,0.50 (4.20%),2.36,-,19.53%,-18.01%,-0.38,-,-,-13.94%,-,40.18%,0.54,"Jan 02, 2025",2.50,-77.16%,36.75%,44.99,4.42% 5.02%,65,0.65,1.00%,24.97%,2.00,16.00,Yes / Yes,0.65,-62.14%,0.00%,0.21,11.83,5.00%,-25.00%,36.16%,Feb 27 AMC,158.90K,11.90,-3.72%,-2.95%,3.26%,,"8,009",0.63%,ACIC
S&P 500,13.04,3.61,0.76%,478.00M,-4.68%,22.61B,9.98,9.58%,0.00%,476.05M,4.21%,1.80B,22.88,0.67,82.00%,2.44%,-9.51%,85.50B,0.26,-9.07%,2.78%,3.10,-20.13%,46.38,1.02,3.34%,11.64M,-17.43%,8.69,5.42,0.57%,7.78%,44.92 - 66.08,-6.72%,2.09 (4.44%),18.42,8.39%,5.84%,-28.68%,0.65,2.01 (4.27%),0.81,6.92%,6.81%,4.91%,1.52,"Feb 18, 2025",1.39,-43.53%,2.59%,46.79,4.16% 3.03%,44043,0.52,-9.01%,2.11%,3.25,48.44,Yes / Yes,0.39,10.10%,54.78%,0.61,47.25,-5.60%,-0.06%,-6.55%,Feb 04 BMO,3.75M,47.12,-0.49%,-3.18%,-15.46%,,"551,481",-0.26%,ADM
-,14.12,0.53,39.63%,836.59M,-4.55%,6.53B,8.09,11.85%,0.00%,529.15M,1.85%,501.10M,1.21,0.19,52.25%,4.27%,1.57%,4.92B,1.33,9.67%,-2.65%,2.30,7.90%,4.26,1.75,3.42%,22.58M,12.80%,0.23,31.98,11.69%,14.41%,6.10 - 8.39,7.74%,0.19 (2.60%),5.45,-,4.40%,-11.26%,1.47,0.22 (2.96%),0.64,-0.75%,50.01%,22.05%,0.24,"Mar 13, 2025",0.80,10.03%,23.74%,46.52,3.43% 2.99%,12800,2.05,-13.19%,10.19%,3.00,8.62,Yes / Yes,2.00,-66.18%,42.30%,0.75,7.32,2.17%,6.38%,3.11%,Feb 27 BMO,9.84M,7.45,-2.13%,0.02%,1.26%,,"1,777,080",1.71%,ADT
RUT,6.44,1.68,8.19%,192.10M,-15.82%,2.07B,6.67,8.32%,-6.28%,176.36M,-23.94%,329.38M,-,0.11,93.68%,9.30%,-38.98%,5.33B,0.39,-14.09%,-4.56%,3.39,-43.49%,9.09,1.19,8.54%,16.40M,-51.70%,1.87,5.78,-0.97%,18.80%,10.92 - 26.25,-35.21%,0.36 (3.32%),10.79,8.46%,11.36%,-58.86%,1.39,0.50 (4.63%),0.81,5.37%,35.22%,-1.10%,0.60,"Apr 11, 2025",1.53,96.32%,8.35%,22.74,6.08% 4.32%,43100,0.82,1.27%,6.18%,2.77,14.10,Yes / Yes,0.64,1592.79%,29.76%,1.17,10.98,0.14%,5.08%,-4.42%,Mar 12 AMC,4.84M,10.80,-15.93%,-27.22%,-42.31%,,"1,365,061",-1.64%,AEO
S&P 500,5.11,2.37,0.51%,711.07M,7.80%,8.63B,5.47,4.86%,0.00%,708.30M,20.19%,1.69B,2.08,0.49,93.64%,5.51%,-11.09%,12.28B,0.70,-1.27%,-5.47%,2.56,-32.10%,5.12,2.37,3.67%,39.01M,-23.92%,2.87,4.23,2.46%,39.65%,9.88 - 22.21,-5.77%,0.71 (5.83%),-,39.18%,5.56%,-45.40%,0.79,0.69 (5.72%),0.73,4.14%,18.85%,22.74%,0.51,"May 01, 2025",0.80,563.59%,16.50%,61.02,4.78% 4.35%,9100,6.42,-3.14%,13.78%,1.94,14.60,Yes / Yes,5.64,620.82%,29.33%,0.68,12.28,-3.54%,56.11%,-0.20%,Feb 28 BMO,15.24M,12.13,9.53%,7.06%,-21.68%,,"2,476,571",-1.25%,AES
-,11.92,10.57,14.68%,83.98M,-0.93%,10.58B,10.72,11.49%,0.02%,71.65M,0.74%,887.00M,2.04,2.09,67.67%,1.76%,-9.53%,8.27B,1.28,-1.96%,1.68%,2.87,-2.20%,53.18,2.37,3.58%,1.26M,-0.19%,-,-,5.85%,20.33%,115.62 - 150.19,-8.00%,5.58 (4.43%),10.38,1.41%,14.37%,-16.13%,0.61,3.02 (2.40%),-,2.02%,-,8.95%,2.55,"Mar 17, 2025",0.45,4.97%,13.82%,47.97,1.97% 1.92%,8700,0.38,6.91%,10.73%,2.71,138.00,Yes / Yes,0.38,-3.27%,27.71%,0.34,125.00,4.01%,0.61%,2.49%,Feb 04 AMC,440.22K,125.97,1.24%,-2.82%,-2.77%,,"35,708",0.78%,AFG
-,10.60,0.96,0.84%,915.46M,-1.97%,9.31B,6.59,-3.76%,-0.36%,907.75M,-0.05%,731.00M,-,0.40,40.57%,6.59%,5.88%,4.88B,1.91,-14.60%,4.89%,2.84,-0.05%,9.06,1.12,1.08%,59.80M,3.40%,1.93,5.26,-8.78%,9.58%,8.92 - 10.85,10.48%,1.44 (14.15%),108.31,-4.32%,7.44%,-6.22%,1.27,1.44 (14.15%),-,178.29%,100.00%,14.07%,0.19,"Feb 28, 2025",-,963700.00%,79.59%,49.70,2.86% 1.71%,53,7.94,384.69%,14.99%,1.80,10.29,Yes / Yes,0.01,-82.84%,154.84%,0.90,10.04,4.02%,-12.76%,268.45%,Jan 27 AMC,21.07M,10.18,-1.55%,2.14%,2.43%,,"4,547,950",1.34%,AGNC
-,7.17,1.50,27.10%,100.84M,-0.65%,1.12B,10.21,8.70%,0.00%,75.92M,11.48%,158.52M,-,-0.07,60.47%,1.37%,-0.65%,1.38B,0.82,-47.48%,23.16%,1.81,-4.69%,13.85,0.78,4.81%,1.04M,5.69%,2.05,5.26,-,11.93%,8.72 - 12.07,14.32%,0.50 (4.68%),348.63,-,6.64%,-10.72%,0.65,0.34 (3.17%),0.97,11.92%,26.39%,23.62%,0.31,"Nov 12, 2024",2.40,10.22%,12.19%,59.60,2.12% 2.37%,9762,0.87,7.47%,11.53%,3.00,12.38,Yes / Yes,0.71,-73.19%,15.50%,2.06,10.72,0.00%,0.00%,34.62%,Mar 13 AMC,574.78K,10.78,0.60%,6.96%,3.74%,,"284,358",0.56%,AGRO
S&P 500,14.27,14.47,0.80%,50.83M,0.90%,10.48B,10.64,21.07%,-1.46%,50.39M,-0.45%,760.20M,2.20,2.84,98.19%,2.05%,-4.57%,11.88B,0.88,-3.71%,-0.19%,2.42,9.03%,100.46,2.05,2.79%,1.03M,13.97%,-,-,6.50%,15.33%,160.12 - 230.55,-3.19%,3.19 (1.55%),9.43,19.88%,10.48%,-10.47%,0.53,2.24 (1.09%),-,3.48%,-,28.92%,4.45,"Feb 03, 2025",2.30,21.03%,8.71%,50.18,2.16% 2.40%,14200,0.42,6.70%,6.40%,1.88,232.60,Yes / Yes,0.42,13.03%,20.47%,0.32,204.04,1.18%,15.97%,4.08%,Feb 11 AMC,426.85K,206.42,0.98%,-0.84%,5.67%,,"32,912",1.17%,AIZ
-,10.71,1.51,-,78.88M,0.88%,1.27B,9.17,9.36%,-,78.88M,6.96%,249.52M,1.01,0.44,0.12%,0.00%,22.58%,3.40B,0.37,8.33%,-17.43%,0.20,8.33%,5.95,2.71,7.34%,0.00M,35.27%,4.15,3.89,10.62%,24.99%,11.98 - 17.00,9.21%,1.32 (8.21%),18.28,-0.04%,12.15%,-5.12%,0.59,1.48 (9.18%),0.79,7.42%,39.62%,34.61%,0.50,"Jan 18, 2024",1.12,19.07%,12.27%,59.14,1.02% 2.87%,-,1.19,10.23%,7.34%,1.91,21.08,No / Yes,1.09,56.21%,54.87%,0.03,15.44,2.47%,13.40%,57.67%,Jan 28 BMO,2.72K,16.13,4.35%,7.29%,12.72%,,22,4.47%,AKO-A
-,13.41,1.66,-,78.88M,3.08%,1.75B,12.62,9.36%,-,78.88M,9.82%,249.52M,1.26,0.44,3.42%,0.02%,22.39%,3.40B,0.52,8.33%,-22.23%,1.46,22.39%,6.55,3.39,7.34%,0.01M,40.41%,4.15,5.35,10.62%,24.99%,14.61 - 22.08,20.73%,1.32 (5.96%),25.18,-0.04%,12.15%,0.62%,0.50,1.63 (7.34%),0.79,7.42%,39.62%,52.04%,0.59,"Jan 18, 2024",1.12,19.06%,12.27%,71.87,3.32% 2.58%,-,1.19,10.23%,7.34%,1.91,21.08,No / Yes,1.09,56.22%,54.87%,1.93,22.08,2.47%,13.40%,57.67%,Jan 28 BMO,10.24K,22.21,7.30%,12.43%,18.54%,,"4,703",0.62%,AKO-B
-,13.66,3.33,7.03%,111.38M,-0.90%,5.07B,8.90,30.74%,-0.41%,103.55M,-0.46%,372.07M,0.61,0.89,97.36%,3.30%,-9.22%,2.59B,1.96,17.46%,0.65%,4.92,7.54%,67.63,0.67,1.33%,3.41M,-0.18%,4.27,10.64,22.23%,5.82%,39.43 - 52.31,-5.65%,0.69 (1.51%),-,-8.14%,1.50%,-13.04%,1.38,0.85 (1.87%),0.11,5.04%,55.79%,15.37%,1.51,"Mar 18, 2025",0.11,-35.24%,47.30%,46.41,3.68% 3.60%,165,2.68,2.65%,14.38%,1.86,55.14,Yes / Yes,2.30,-56.25%,25.56%,0.49,44.52,1.39%,11.35%,4.61%,Feb 13 AMC,693.30K,45.49,-3.17%,-2.53%,-2.13%,,"81,721",2.18%,AL
S&P 500,11.98,16.99,0.55%,265.00M,1.40%,53.94B,9.63,18.02%,-12.20%,263.56M,7.51%,4.55B,1.57,3.62,79.67%,0.93%,4.35%,64.11B,0.84,-2.23%,2.52%,1.37,10.39%,73.36,2.77,4.64%,2.45M,27.53%,-,-,7.65%,23.80%,156.66 - 209.88,5.58%,3.84 (1.89%),6.19,3.91%,15.60%,-3.02%,0.36,3.76 (1.85%),-,7.90%,-,29.92%,5.05,"Mar 10, 2025",0.40,1544.67%,9.71%,61.00,3.40% 2.48%,55400,0.39,12.28%,7.10%,1.79,229.81,Yes / Yes,0.36,26.92%,21.66%,0.51,202.00,9.70%,22.28%,11.29%,Feb 05 AMC,1.79M,203.54,4.17%,6.13%,10.28%,,"218,119",0.76%,ALL
-,12.97,2.60,1.13%,305.39M,-2.78%,10.35B,6.05,52.46%,1.31%,303.63M,-9.52%,806.00M,0.31,0.48,90.25%,2.71%,-12.62%,16.39B,0.63,55.53%,-0.34%,2.36,2.48%,37.92,0.89,0.47%,8.21M,-11.63%,-,-,41.91%,6.63%,31.95 - 45.46,-6.46%,1.20 (3.56%),15.79,-16.14%,3.02%,-25.90%,1.15,1.20 (3.56%),-,8.04%,-,5.43%,1.25,"Jan 31, 2025",1.48,-12.41%,5.15%,36.11,3.90% 3.44%,10700,1.38,3.41%,4.92%,2.00,44.35,Yes / Yes,0.92,62.62%,66.70%,0.36,32.99,0.34%,36.44%,-0.68%,Jan 22 BMO,3.48M,33.69,-6.42%,-8.73%,-11.28%,,"302,713",2.11%,ALLY
-,11.22,8.06,0.31%,77.70M,-7.05%,7.03B,8.11,20.78%,-4.38%,77.48M,-2.59%,645.00M,0.71,1.67,67.24%,2.63%,-8.88%,10.39B,0.68,10.89%,-0.59%,2.70,-3.12%,29.29,3.09,7.99%,2.04M,-24.68%,4.25,21.29,15.85%,26.69%,87.55 - 129.38,-3.62%,2.83 (3.13%),14.67,8.76%,16.47%,-30.13%,1.48,2.76 (3.05%),0.71,4.55%,18.56%,3.25%,2.93,"Mar 07, 2025",0.96,39.95%,9.56%,40.24,3.17% 2.70%,65200,0.91,-0.80%,6.21%,1.88,110.51,Yes / Yes,0.72,14.14%,34.10%,3.05,87.68,-3.59%,4.79%,-4.91%,Jan 31 BMO,756.20K,90.40,-5.93%,-5.99%,-9.16%,,"552,912",3.10%,ALV
-,13.52,1.43,59.58%,246.68M,-6.87%,4.77B,9.64,40.61%,1.78%,99.73M,-11.59%,354.01M,0.95,0.09,44.68%,5.47%,-25.89%,6.32B,0.75,-0.31%,2.71%,3.20,-34.90%,16.82,1.15,5.16%,5.46M,-42.38%,6.67,2.89,14.29%,8.73%,18.87 - 44.19,-24.82%,0.39 (2.00%),13.81,23.20%,6.74%,-56.29%,1.85,0.32 (1.63%),1.90,10.11%,14.77%,2.35%,0.85,"Mar 13, 2025",2.11,-1.90%,6.94%,33.88,4.04% 3.88%,28300,0.34,-2.85%,5.60%,2.00,29.08,Yes / Yes,0.27,-10.37%,22.33%,0.61,18.99,-2.03%,13.88%,-7.00%,Feb 10 AMC,1.71M,19.31,-8.05%,-17.41%,-33.82%,,"249,218",1.71%,AMKR
RUT,8.64,3.06,25.50%,47.62M,-8.19%,1.26B,6.89,19.77%,-0.47%,35.50M,-16.88%,159.52M,14.39,0.72,74.98%,11.63%,-39.39%,731.97M,1.72,-16.91%,-0.49%,6.74,-41.31%,15.38,1.72,10.17%,4.13M,-40.09%,4.70,5.62,0.60%,23.26%,25.89 - 53.96,-28.76%,-,7.31,25.59%,11.59%,-50.98%,0.84,-,2.19,18.07%,49.37%,2.18%,1.16,-,3.07,15.72%,28.06%,25.39,4.32% 4.01%,2028,0.89,13.59%,21.79%,2.00,39.80,Yes / Yes,0.88,8.46%,0.00%,0.56,26.24,-1.19%,-1.95%,4.73%,Feb 27 AMC,612.78K,26.45,-9.73%,-19.50%,-36.14%,,"82,171",0.80%,AMPH
RUT,12.74,0.30,9.75%,39.80M,-0.14%,152.65M,5.47,-28.38%,1.68%,36.40M,-26.22%,11.88M,-,0.21,52.08%,3.63%,-39.93%,294.68M,0.52,61.04%,7.81%,3.27,-39.64%,10.28,0.37,1.59%,1.32M,-36.50%,0.00,-,-,2.97%,3.54 - 8.15,-36.92%,-,-,-,2.20%,-53.56%,1.34,-,1.05,7.92%,31.32%,6.91%,0.25,"Mar 13, 2020",1.05,-96.92%,12.42%,23.91,7.74% 5.19%,229,0.32,-4.20%,4.03%,1.00,9.67,Yes / Yes,0.32,-116.65%,0.00%,0.74,3.75,-9.23%,-45.04%,-12.62%,Mar 05 AMC,404.67K,3.78,-17.05%,-27.91%,-39.93%,,"71,575",0.93%,AMPY
RUT,9.36,14.21,16.54%,13.02M,0.18%,1.74B,4.09,81.03%,-0.49%,10.89M,-25.91%,187.58M,0.59,-0.17,87.43%,10.90%,-43.49%,2.96B,0.59,21.37%,2.66%,4.64,-31.03%,126.72,1.05,7.74%,1.19M,-58.46%,36.90,3.61,15.97%,11.64%,125.81 - 361.17,-33.52%,-,4.56,-,11.33%,-63.17%,1.06,-,3.45,16.33%,10.37%,5.75%,8.46,"Nov 30, 2023",4.13,-71.49%,7.70%,32.48,5.63% 6.31%,4040,0.01,-14.81%,6.34%,2.33,272.00,Yes / Yes,0.00,-101.27%,0.00%,0.71,132.16,-6.21%,80.38%,-35.69%,Feb 28 BMO,255.80K,133.03,-8.10%,-22.28%,-42.04%,,"43,533",0.66%,AMR
RUT,9.64,1.06,39.33%,34.50M,-7.57%,538.55M,8.22,51.39%,0.67%,31.88M,-46.25%,56.65M,0.96,-0.21,62.90%,8.15%,-61.45%,1.77B,0.30,-31.40%,-1.51%,4.41,-69.18%,19.30,0.53,1.44%,2.60M,-50.74%,3.39,3.02,10.00%,5.92%,9.04 - 39.68,-56.35%,-,-,2.77%,2.22%,-74.17%,2.09,-,1.29,18.20%,14.07%,13.38%,1.21,-,1.31,-9.56%,4.65%,27.21,9.88% 8.66%,1509,1.68,28.76%,3.20%,1.92,23.50,Yes / Yes,1.52,9.54%,0.00%,1.10,10.00,1.98%,10.86%,20.69%,Feb 27 AMC,589.47K,10.25,-27.56%,-47.30%,-63.07%,,"156,322",2.50%,AMRC
RUT,13.44,2.06,27.22%,23.02M,0.00%,636.94M,7.62,57.92%,-6.34%,16.75M,-3.56%,49.20M,1.95,0.65,61.37%,8.78%,-3.25%,10.61B,0.06,-16.37%,-8.20%,5.60,-37.30%,26.62,1.04,2.82%,1.47M,-1.07%,2.48,11.14,6.91%,8.22%,25.01 - 47.39,0.99%,-,5.09,78.46%,5.80%,-41.61%,0.38,0.60 (2.17%),0.31,15.80%,1.04%,10.64%,1.05,"Jan 14, 2025",1.58,-54.69%,0.15%,52.63,4.99% 3.88%,489,1.35,4.95%,0.46%,1.80,42.20,Yes / Yes,0.38,-52.18%,28.15%,0.27,27.30,15.30%,-12.96%,27.57%,Feb 06 AMC,262.75K,27.67,1.77%,0.33%,-18.30%,,"17,079",1.36%,AMRK
-,4.73,0.60,48.61%,6.39M,2.82%,18.13M,9.42,-43.40%,0.00%,3.30M,-8.28%,3.93M,-,0.01,16.53%,0.76%,-14.13%,24.97M,0.73,430.00%,-1.61%,1.50,-6.15%,4.14,0.68,7.10%,0.02M,3.20%,2.19,1.29,-,16.19%,2.51 - 4.60,-11.44%,-,-,-11.41%,10.14%,-38.59%,0.41,-,1.46,1.35%,34.81%,12.55%,0.11,"Jun 28, 2007",1.46,765.57%,5.36%,43.13,3.92% 3.34%,31,0.78,20.83%,15.74%,-,4.85,No / Yes,0.47,-273.37%,0.00%,0.86,2.84,-12.51%,-137.50%,36.33%,Nov 13 BMO,16.60K,2.83,-1.50%,-6.42%,-9.77%,,"3,395",-0.53%,AMS
RUT,9.01,6.46,2.65%,15.03M,-4.42%,863.68M,8.59,3.31%,-3.97%,14.44M,-22.93%,100.69M,-,1.47,98.34%,3.79%,-33.20%,1.76B,0.49,-23.07%,1.63%,3.32,-29.54%,61.18,0.95,6.36%,0.55M,-39.01%,2.93,19.86,-1.12%,11.09%,57.44 - 106.57,-26.79%,-,22.67,8.16%,7.21%,-45.37%,1.31,-,1.06,2.63%,18.29%,1.36%,2.55,"Jun 09, 2011",2.01,-10.65%,8.54%,23.15,3.75% 3.87%,8600,0.56,-6.02%,5.71%,2.00,91.67,Yes / Yes,0.52,-16.97%,0.00%,0.20,57.97,-2.01%,-20.14%,-5.81%,Feb 27 BMO,165.22K,58.22,-10.83%,-20.48%,-31.86%,,"7,875",0.43%,AMWD
-,9.39,16.94,26.37%,39.03M,-7.02%,6.24B,7.76,11.56%,-0.01%,28.76M,-16.99%,692.20M,0.85,4.26,69.01%,5.67%,-9.62%,26.77B,0.23,5.22%,-2.92%,3.41,0.24%,62.95,2.53,5.38%,1.63M,6.31%,2.59,61.50,11.09%,29.65%,150.08 - 198.50,-6.35%,-,-,27.76%,11.12%,-19.87%,1.17,-,0.21,5.18%,16.98%,5.98%,5.09,-,0.74,-25.24%,3.97%,27.24,3.51% 2.69%,25100,2.03,-0.68%,2.59%,2.07,212.89,Yes / Yes,1.53,-7.91%,0.00%,0.61,156.67,6.14%,16.59%,6.59%,Feb 11 BMO,477.20K,159.05,-9.96%,-12.02%,-7.69%,,"69,768",1.52%,AN
RUT,12.44,3.33,5.44%,34.01M,-3.86%,1.41B,9.69,35.02%,-0.17%,32.18M,2.67%,114.01M,-,-0.07,88.64%,2.31%,-9.56%,11.26B,0.13,-4.52%,-1.72%,2.10,-9.28%,40.17,1.03,2.86%,0.74M,-23.31%,16.51,2.51,-,8.61%,39.25 - 61.46,2.34%,0.78 (1.88%),7.74,43.12%,5.59%,-32.53%,0.57,0.76 (1.84%),0.90,10.78%,6.28%,5.65%,1.56,"Apr 01, 2025",1.65,11.84%,1.83%,45.41,3.16% 3.84%,2299,0.66,-23.68%,1.01%,1.00,62.50,Yes / Yes,0.49,-11.03%,23.03%,0.31,41.09,14.94%,42.39%,-2.80%,Feb 18 AMC,353.17K,41.47,-3.37%,-1.88%,-11.42%,,"25,890",0.92%,ANDE
RUT,7.29,10.70,1.86%,50.37M,-9.32%,3.93B,6.52,7.34%,-3.63%,49.44M,-28.37%,566.22M,0.62,1.47,103.07%,9.83%,-43.58%,4.95B,0.79,4.32%,0.28%,2.10,-40.55%,24.76,3.15,18.05%,4.86M,-35.30%,17.65,4.42,11.81%,47.77%,74.31 - 196.99,-47.81%,-,7.50,77.99%,27.28%,-60.40%,1.42,-,0.97,7.20%,61.03%,4.98%,5.68,"Mar 05, 2020",1.48,71.45%,14.82%,24.55,6.48% 5.42%,31700,0.71,15.60%,11.44%,1.73,138.86,Yes / Yes,0.55,20.32%,0.00%,0.74,75.93,1.14%,0.92%,9.09%,Mar 05 BMO,2.32M,78.01,-16.92%,-32.03%,-45.76%,,"413,435",2.74%,ANF
S&P 500,8.66,2.25,2.14%,365.40M,3.28%,7.08B,5.77,-5.48%,0.06%,356.29M,-13.01%,804.00M,-,0.84,89.76%,9.04%,-12.58%,9.74B,0.73,-5.30%,5.88%,4.10,-17.58%,14.45,1.35,4.64%,32.21M,-38.11%,1.72,11.33,-6.00%,20.26%,17.66 - 36.04,-15.73%,1.00 (5.15%),9.99,-,6.98%,-46.02%,2.76,1.00 (5.14%),1.01,15.89%,39.45%,10.19%,0.93,"Apr 22, 2025",1.15,-75.78%,32.85%,38.99,4.53% 4.85%,2305,1.22,17.61%,8.26%,2.76,28.89,Yes / Yes,1.18,-83.39%,43.91%,0.39,19.04,-4.26%,-18.71%,25.15%,Feb 26 AMC,7.86M,19.46,-6.23%,-12.59%,-22.94%,,"740,542",2.20%,APA
RUT,10.59,4.47,1.97%,21.94M,-1.13%,1.04B,10.94,-12.58%,0.00%,21.52M,-4.63%,98.30M,-,0.88,94.68%,2.85%,-40.81%,1.38B,0.75,3.77%,0.84%,2.26,-24.41%,23.80,1.99,9.47%,0.61M,-16.61%,2.18,21.73,-0.60%,20.11%,45.33 - 87.93,-33.69%,-,8.05,22.61%,11.59%,-46.15%,0.83,1.01 (2.13%),1.27,0.87%,27.14%,4.46%,1.46,"Jan 28, 2025",1.63,-5.49%,10.85%,38.46,2.58% 2.87%,4400,0.65,-1.58%,7.14%,2.00,66.17,Yes / Yes,0.62,-21.85%,21.51%,0.18,46.56,2.73%,8.18%,0.48%,Jan 07 BMO,270.91K,47.35,-1.12%,-9.41%,-27.82%,,"11,395",1.70%,APOG
