Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CIB,Bancolombia S.A. ADR,Financial,Banks - Regional,Colombia,4.77B,12.55,42.22,1.56%,"40,864"
CIG,Cia Energetica DE Minas Gerais - Cemig ADR,Utilities,Utilities - Diversified,Brazil,3.65B,3.58,1.91,-1.29%,"967,918"
CIM,Chimera Investment Corp,Real Estate,REIT - Mortgage,USA,1.10B,12.57,13.57,1.90%,"57,745"
CIVB,Civista Bancshares Inc,Financial,Banks - Regional,USA,297.37M,9.54,19.21,0.10%,"2,899"
CIVI,Civitas Resources Inc,Energy,Oil & Gas E&P,USA,3.05B,3.87,32.81,0.55%,"323,694"
CLCO,Cool Company Ltd,Energy,Oil & Gas Midstream,Bermuda,294.71M,3.17,5.49,-0.81%,"17,187"
CM,Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified,Canada,52.48B,10.01,55.83,1.42%,"118,726"
CMA,"Comerica, Inc",Financial,Banks - Regional,USA,7.48B,11.35,56.96,-0.18%,"199,800"
CMBT,CMB.Tech NV,Energy,Oil & Gas Midstream,Belgium,1.76B,1.53,9.06,0.22%,"9,958"
CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,133.47B,8.51,35.30,1.73%,"6,927,349"
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery,USA,43.80B,11.31,318.60,1.82%,"121,893"
CMPR,Cimpress plc,Industrials,Specialty Business Services,Ireland,1.03B,6.90,41.63,-0.75%,"25,333"
CMRE,Costamare Inc,Industrials,Marine Shipping,Monaco,1.22B,4.16,10.15,-0.44%,"55,110"
CMT,Core Molding Technologies,Basic Materials,Specialty Chemicals,USA,120.48M,7.95,13.98,2.83%,"4,115"
CNA,CNA Financial Corp,Financial,Insurance - Property & Casualty,USA,13.15B,13.80,48.54,0.96%,"39,923"
CNC,Centene Corp,Healthcare,Healthcare Plans,USA,28.60B,9.23,57.65,-0.53%,"1,178,740"
CNH,CNH Industrial NV,Industrials,Farm & Heavy Construction Machinery,United Kingdom,16.11B,12.40,12.90,2.83%,"5,234,992"
CNK,Cinemark Holdings Inc,Communication Services,Entertainment,USA,2.97B,11.96,24.27,1.71%,"921,419"
CNMD,Conmed Corp,Healthcare,Medical Devices,USA,1.82B,13.85,58.88,0.67%,"27,147"
CNO,CNO Financial Group Inc,Financial,Insurance - Life,USA,3.98B,10.55,39.49,1.80%,"66,197"
CNOB,ConnectOne Bancorp Inc,Financial,Banks - Regional,USA,892.20M,13.25,23.25,1.48%,"27,881"
CNR,Core Natural Resources Inc,Energy,Thermal Coal,USA,3.95B,7.61,73.17,0.90%,"113,697"
CNXC,Concentrix Corp,Technology,Information Technology Services,USA,2.83B,11.83,43.92,1.39%,"128,237"
COF,Capital One Financial Corp,Financial,Credit Services,USA,64.69B,14.64,169.65,2.12%,"734,787"
COFS,"Choiceone Financial Services, Inc",Financial,Banks - Regional,USA,254.90M,8.74,28.42,-0.35%,"6,883"
COLB,"Columbia Banking System, Inc",Financial,Banks - Regional,USA,5.15B,9.64,24.58,2.67%,"225,666"
CPAC,Cementos Pacasmayo S.A.A. ADR,Basic Materials,Building Materials,Peru,483.11M,9.15,5.70,-0.89%,128
CPSS,"Consumer Portfolio Service, Inc",Financial,Credit Services,USA,187.52M,11.10,8.74,2.76%,886
CRBG,Corebridge Financial Inc,Financial,Asset Management,USA,17.32B,8.09,31.15,1.96%,"245,433"
CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,3.94B,10.55,43.35,3.09%,"110,624"
CRI,Carters Inc,Consumer Cyclical,Apparel Retail,USA,1.42B,7.69,39.42,-1.15%,"147,030"
CRNT,Ceragon Networks Ltd,Technology,Communication Equipment,Israel,233.56M,10.00,2.72,5.02%,"295,641"
CROX,Crocs Inc,Consumer Cyclical,Footwear & Accessories,USA,5.56B,6.21,99.18,-0.82%,"271,399"
CUBI,Customers Bancorp Inc,Financial,Banks - Regional,USA,1.56B,9.75,49.58,1.00%,"36,016"
CUK,Carnival plc ADR,Consumer Cyclical,Travel Services,United Kingdom,2.58B,12.73,17.73,1.99%,"329,245"
CVE,Cenovus Energy Inc,Energy,Oil & Gas Integrated,Canada,24.20B,11.01,13.27,1.53%,"1,514,658"
CX,Cemex S.A.B. De C.V. ADR,Basic Materials,Building Materials,Mexico,8.99B,9.31,5.95,1.36%,"2,723,658"
CZFS,"Citizens Financial Services, Inc",Financial,Banks - Regional,USA,264.67M,9.50,55.61,-1.07%,969
CZNC,Citizens & Northern Corp,Financial,Banks - Regional,USA,310.71M,11.91,20.09,1.52%,"1,955"
CZWI,Citizens Community Bancorp Inc MD,Financial,Banks - Regional,USA,138.97M,10.35,13.85,0.51%,"1,545"
DAC,Danaos Corporation,Industrials,Marine Shipping,Greece,1.46B,3.01,78.04,-0.90%,"20,496"
DAL,"Delta Air Lines, Inc",Industrials,Airlines,USA,28.94B,8.40,44.80,2.00%,"2,827,982"
DB,Deutsche Bank AG,Financial,Banks - Regional,Germany,45.75B,11.66,24.11,4.92%,"1,399,792"
DDI,DoubleDown Interactive Co Ltd ADR,Communication Services,Electronic Gaming & Multimedia,South Korea,488.56M,3.98,9.86,2.87%,531
DEC,Diversified Energy Company Plc,Energy,Oil & Gas E&P,USA,602.06M,3.93,11.84,1.11%,"68,147"
DENN,Denny's Corp,Consumer Cyclical,Restaurants,USA,201.28M,9.50,3.90,-0.26%,"239,403"
DFH,Dream Finders Homes Inc,Consumer Cyclical,Residential Construction,USA,2.24B,7.48,24.00,2.56%,"46,006"
DFIN,Donnelley Financial Solutions Inc,Technology,Software - Application,USA,1.25B,14.22,43.57,0.23%,"14,816"
DFS,Discover Financial Services,Financial,Credit Services,USA,41.05B,10.48,163.16,2.47%,"181,974"
DG,Dollar General Corp,Consumer Defensive,Discount Stores,USA,17.23B,12.90,78.33,-2.03%,"1,045,695"
DGICA,Donegal Group Inc,Financial,Insurance - Property & Casualty,USA,638.09M,12.09,18.32,1.05%,"8,416"
DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA,39.63B,8.89,125.76,0.38%,"667,971"
DIN,Dine Brands Global Inc,Consumer Cyclical,Restaurants,USA,377.68M,5.87,24.76,1.31%,"81,149"
DKS,"Dicks Sporting Goods, Inc",Consumer Cyclical,Specialty Retail,USA,15.45B,13.50,189.66,1.67%,"392,905"
DLNG,Dynagas LNG Partners LP,Energy,Oil & Gas Midstream,Greece,143.08M,2.77,3.89,2.10%,"4,427"
DLX,Deluxe Corp,Industrials,Conglomerates,USA,699.12M,13.33,15.73,0.74%,"33,383"
DOLE,Dole plc,Consumer Defensive,Farm Products,Ireland,1.34B,10.73,14.12,0.12%,"61,524"
DVA,DaVita Inc,Healthcare,Medical Care Facilities,USA,11.43B,13.30,142.94,1.29%,"110,446"
DVN,Devon Energy Corp,Energy,Oil & Gas E&P,USA,22.06B,7.43,33.99,0.59%,"1,499,888"
DXLG,Destination XL Group Inc,Consumer Cyclical,Apparel Retail,USA,99.11M,11.90,1.83,0.83%,"19,103"
EBMT,Eagle Bancorp Montana Inc,Financial,Banks - Regional,USA,136.28M,13.66,17.00,1.01%,501
