Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
IFS,Intercorp Financial Services Inc,Financial,Banks - Regional,Peru,3.81B,10.88,32.98,1.66%,"18,380"
IGT,International Game Technology PLC,Consumer Cyclical,Gambling,United Kingdom,3.35B,9.70,16.58,0.70%,"164,075"
IMO,Imperial Oil Ltd,Energy,Oil & Gas Integrated,Canada,34.13B,10.17,67.05,0.64%,"58,306"
IMPP,Imperial Petroleum Inc,Energy,Oil & Gas Midstream,Greece,75.33M,1.61,2.48,3.48%,"17,669"
IMXI,International Money Express Inc,Technology,Software - Infrastructure,USA,407.06M,7.39,13.28,2.47%,"31,934"
INBK,First Internet Bancorp,Financial,Banks - Regional,USA,231.60M,9.21,26.63,1.64%,851
INGR,Ingredion Inc,Consumer Defensive,Packaged Foods,USA,8.40B,13.48,130.83,0.22%,"40,834"
INSW,International Seaways Inc,Energy,Oil & Gas Midstream,USA,1.61B,3.89,32.65,0.77%,"124,205"
INVX,Innovex International Inc,Energy,Oil & Gas Equipment & Services,USA,1.24B,9.83,17.92,3.34%,"25,552"
IPG,"Interpublic Group Of Cos., Inc",Communication Services,Advertising Agencies,USA,9.79B,14.38,26.28,0.74%,"3,227,110"
ISTR,Investar Holding Corp,Financial,Banks - Regional,USA,167.24M,8.34,17.02,0.83%,537
ITUB,Itau Unibanco Holding S.A. ADR,Financial,Banks - Regional,Brazil,28.64B,7.68,5.95,3.93%,"4,396,548"
IVR,Invesco Mortgage Capital Inc,Real Estate,REIT - Mortgage,USA,527.18M,13.21,8.54,0.59%,"418,117"
IVZ,Invesco Ltd,Financial,Asset Management,USA,6.82B,12.87,15.23,1.91%,"444,911"
IX,Orix Corporation ADR,Financial,Financial Conglomerates,Japan,22.97B,9.20,21.11,0.98%,"23,131"
JAKK,Jakks Pacific Inc,Consumer Cyclical,Leisure,USA,272.03M,8.07,24.41,-0.18%,"12,078"
JBL,Jabil Inc,Technology,Electronic Components,USA,14.63B,12.82,133.60,2.37%,"160,604"
JD,JD.com Inc ADR,Consumer Cyclical,Internet Retail,China,59.64B,11.51,43.07,4.44%,"5,240,748"
JILL,J.Jill Inc,Consumer Cyclical,Apparel Retail,USA,284.26M,6.55,18.53,1.87%,"11,579"
JWN,"Nordstrom, Inc",Consumer Cyclical,Department Stores,USA,4.00B,14.04,24.22,0.00%,"750,959"
JXN,Jackson Financial Inc,Financial,Insurance - Life,USA,5.91B,7.11,81.34,2.49%,"112,431"
KB,KB Financial Group Inc ADR,Financial,Banks - Regional,South Korea,20.43B,5.84,54.68,1.22%,"24,075"
KBH,KB Home,Consumer Cyclical,Residential Construction,USA,4.27B,7.06,59.74,-0.25%,"134,305"
KEP,Korea Electric Power ADR,Utilities,Utilities - Regulated Electric,South Korea,9.87B,3.86,7.69,0.26%,"11,990"
KFY,Korn Ferry,Industrials,Staffing & Employment Services,USA,3.41B,14.20,66.06,-0.60%,"148,972"
KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods,USA,36.21B,13.38,30.30,0.36%,"1,430,142"
KINS,Kingstone Cos. Inc,Financial,Insurance - Property & Casualty,USA,204.50M,12.66,16.56,21.14%,"292,828"
KMPR,Kemper Corporation,Financial,Insurance - Property & Casualty,USA,4.27B,13.63,66.86,0.74%,"51,104"
KOP,Koppers Holdings Inc,Basic Materials,Specialty Chemicals,USA,590.98M,11.92,28.85,1.65%,"13,193"
KOS,Kosmos Energy Ltd,Energy,Oil & Gas E&P,USA,1.07B,5.68,2.24,3.70%,"1,034,561"
KRO,"Kronos Worldwide, Inc",Basic Materials,Specialty Chemicals,USA,915.69M,10.62,7.96,4.19%,"37,378"
KSS,Kohl's Corp,Consumer Cyclical,Department Stores,USA,889.99M,8.22,7.99,-2.62%,"5,196,531"
KTB,Kontoor Brands Inc,Consumer Cyclical,Apparel Manufacturing,USA,3.34B,13.81,60.29,1.31%,"106,216"
LAD,"Lithia Motors, Inc",Consumer Cyclical,Auto & Truck Dealerships,USA,7.67B,9.83,291.77,2.16%,"72,888"
LAUR,Laureate Education Inc,Consumer Defensive,Education & Training Services,USA,2.83B,9.67,18.77,1.54%,"45,418"
LBRT,Liberty Energy Inc,Energy,Oil & Gas Equipment & Services,USA,2.34B,7.72,14.39,1.84%,"385,101"
LDOS,Leidos Holdings Inc,Technology,Information Technology Services,USA,17.25B,14.57,134.55,1.27%,"124,913"
LEA,Lear Corp,Consumer Cyclical,Auto Parts,USA,5.09B,10.62,94.96,1.56%,"72,062"
LEN,Lennar Corp,Consumer Cyclical,Residential Construction,USA,30.71B,8.15,116.87,0.47%,"888,083"
LFT,Lument Finance Trust Inc,Real Estate,REIT - Mortgage,USA,143.21M,7.89,2.74,1.06%,"16,961"
LGCY,Legacy Education Inc,Consumer Defensive,Education & Training Services,USA,82.27M,12.80,6.64,2.86%,754
LGIH,LGI Homes Inc,Consumer Cyclical,Residential Construction,USA,1.65B,8.48,70.46,-0.23%,"94,070"
LNC,Lincoln National Corp,Financial,Insurance - Life,USA,6.01B,1.92,35.24,2.26%,"202,115"
LNKB,Linkbancorp Inc,Financial,Banks - Regional,USA,257.30M,9.74,6.89,2.91%,"10,197"
LOCO,El Pollo Loco Holdings Inc,Consumer Cyclical,Restaurants,USA,296.28M,11.64,9.95,0.71%,"51,743"
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADR,Basic Materials,Building Materials,Argentina,1.26B,8.90,10.60,3.00%,"78,731"
LTM,LATAM Airlines Group S.A. ADR,Industrials,Airlines,Chile,9.59B,9.79,31.73,-0.41%,"75,693"
LZB,La-Z-Boy Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.60B,13.29,38.75,1.11%,"73,669"
M,Macy's Inc,Consumer Cyclical,Department Stores,USA,3.63B,6.34,13.09,-4.06%,"2,253,616"
MAT,"Mattel, Inc",Consumer Cyclical,Leisure,USA,6.51B,12.36,19.70,0.23%,"569,700"
MATX,Matson Inc,Industrials,Marine Shipping,USA,4.23B,9.17,128.75,-0.53%,"17,488"
MBC,MasterBrand Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.70B,13.83,13.32,2.49%,"92,949"
MBIN,Merchants Bancorp,Financial,Banks - Regional,USA,1.70B,5.87,37.09,1.26%,"7,172"
MBWM,Mercantile Bank Corp,Financial,Banks - Regional,USA,716.43M,8.95,44.14,1.08%,"6,832"
MCB,Metropolitan Bank Holding Corp,Financial,Banks - Regional,USA,602.79M,9.07,53.70,1.32%,"22,480"
MCY,Mercury General Corp,Financial,Insurance - Property & Casualty,USA,3.11B,6.64,56.15,1.20%,"74,420"
MEC,Mayville Engineering Company Inc,Industrials,Metal Fabrication,USA,289.35M,11.47,14.17,0.78%,"4,376"
MET,Metlife Inc,Financial,Insurance - Life,USA,54.00B,13.30,79.26,2.01%,"482,629"
METC,Ramaco Resources Inc,Basic Materials,Coking Coal,USA,496.13M,13.85,9.56,-0.63%,"156,749"
MFA,MFA Financial Inc,Real Estate,REIT - Mortgage,USA,1.10B,13.28,10.78,1.38%,"87,928"
MFC,Manulife Financial Corp,Financial,Insurance - Life,Canada,49.93B,13.95,28.98,1.99%,"190,776"
MFG,"Mizuho Financial Group, Inc. ADR",Financial,Banks - Regional,Japan,72.37B,12.42,5.74,2.41%,"224,825"
MFIN,Medallion Financial Corp,Financial,Credit Services,USA,203.71M,5.79,8.81,0.06%,"3,399"
MGA,Magna International Inc,Consumer Cyclical,Auto Parts,Canada,10.29B,10.39,36.52,2.93%,"234,313"
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,8.96B,13.13,31.39,4.06%,"958,735"
MHK,"Mohawk Industries, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,7.09B,13.93,113.29,2.14%,"105,532"
MHO,MI Homes Inc,Consumer Cyclical,Residential Construction,USA,3.13B,5.86,115.57,0.64%,"20,587"
MITT,AG Mortgage Investment Trust Inc,Real Estate,REIT - Mortgage,USA,220.66M,6.03,7.44,1.50%,"28,862"
MKTW,Marketwise Inc,Financial,Financial Data & Stock Exchanges,USA,198.13M,3.41,0.61,7.11%,"106,096"
MLR,Miller Industries Inc,Consumer Cyclical,Auto Parts,USA,507.27M,8.08,44.34,0.69%,"31,355"
MMS,Maximus Inc,Industrials,Specialty Business Services,USA,3.79B,14.42,66.94,0.15%,"58,725"
MOMO,Hello Group Inc ADR,Communication Services,Internet Content & Information,China,941.32M,9.09,7.14,-0.49%,"606,653"
MPB,"Mid Penn Bancorp, Inc",Financial,Banks - Regional,USA,497.64M,8.87,25.71,0.86%,"11,759"
MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing,USA,43.62B,14.09,140.03,2.20%,"250,075"
MRBK,Meridian Corp,Financial,Banks - Regional,USA,156.24M,9.59,13.90,0.94%,"22,098"
MRC,MRC Global Inc,Energy,Oil & Gas Equipment & Services,USA,890.79M,12.01,10.45,-5.94%,"479,703"
MRX,Marex Group Plc,Financial,Capital Markets,United Kingdom,2.28B,11.93,32.44,3.44%,"76,998"
MS,Morgan Stanley,Financial,Capital Markets,USA,185.03B,14.44,114.72,2.72%,"1,201,560"
MTDR,Matador Resources Co,Energy,Oil & Gas E&P,USA,5.96B,6.67,47.64,1.51%,"116,025"
MTH,Meritage Homes Corp,Consumer Cyclical,Residential Construction,USA,5.01B,6.51,69.78,0.53%,"128,362"
MTW,"Manitowoc Co., Inc",Industrials,Farm & Heavy Construction Machinery,USA,330.99M,6.02,9.42,1.63%,"20,980"
MTX,"Minerals Technologies, Inc",Basic Materials,Specialty Chemicals,USA,2.15B,13.06,67.54,1.52%,"25,171"
MUFG,"Mitsubishi UFJ Financial Group, Inc. ADR",Financial,Banks - Diversified,Japan,157.91B,12.44,13.61,3.36%,"4,164,351"
MUR,Murphy Oil Corp,Energy,Oil & Gas E&P,USA,3.71B,9.46,25.41,2.12%,"400,028"
MVBF,MVB Financial Corp,Financial,Banks - Regional,USA,223.05M,11.24,17.24,1.38%,"7,249"
NAT,Nordic American Tankers Ltd,Energy,Oil & Gas Midstream,Bermuda,525.15M,11.11,2.48,0.81%,"456,426"
NAVI,Navient Corp,Financial,Credit Services,USA,1.36B,11.37,13.28,2.00%,"82,787"
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,USA,8.29B,10.64,18.85,1.72%,"2,563,164"
NCSM,NCS Multistage Holdings Inc,Energy,Oil & Gas Equipment & Services,USA,69.39M,10.82,27.31,-2.46%,"6,398"
NE,Noble Corp Plc,Energy,Oil & Gas Drilling,USA,3.71B,7.81,23.31,3.79%,"363,863"
NECB,NorthEast Community Bancorp Inc,Financial,Banks - Regional,USA,321.35M,6.40,22.92,1.55%,"1,053"
NEWT,NewtekOne Inc,Financial,Banks - Regional,USA,320.58M,6.26,12.19,1.14%,"11,575"
NEXN,Nexxen International Ltd,Communication Services,Advertising Agencies,Israel,463.33M,14.28,7.26,-4.22%,"268,474"
NLY,Annaly Capital Management Inc,Real Estate,REIT - Mortgage,USA,12.42B,13.58,21.48,1.78%,"1,312,514"
NMM,Navios Maritime Partners L.P,Industrials,Marine Shipping,Monaco,1.18B,3.29,39.45,0.33%,"18,331"
NMR,Nomura Holdings Inc. ADR,Financial,Capital Markets,Japan,18.72B,9.07,6.34,2.34%,"86,645"
NOA,North American Construction Group Ltd,Energy,Oil & Gas Equipment & Services,Canada,454.50M,12.72,16.94,5.94%,"17,469"
NOAH,Noah Holdings Ltd ADR,Financial,Asset Management,China,745.04M,2.11,11.11,4.56%,"15,468"
NOG,Northern Oil and Gas Inc,Energy,Oil & Gas E&P,USA,2.88B,5.64,29.03,2.49%,"177,183"
NOMD,Nomad Foods Limited,Consumer Defensive,Packaged Foods,United Kingdom,2.96B,12.70,19.31,-0.57%,"54,627"
NOV,NOV Inc,Energy,Oil & Gas Equipment & Services,USA,5.41B,8.83,14.19,1.47%,"500,503"
NPKI,NPK International Inc,Energy,Oil & Gas Equipment & Services,USA,526.44M,11.69,6.08,2.22%,"470,668"
NTRS,Northern Trust Corp,Financial,Asset Management,USA,18.95B,9.91,96.84,0.78%,"160,845"
NVGS,Navigator Holdings Ltd,Energy,Oil & Gas Midstream,United Kingdom,947.63M,12.15,13.65,-0.69%,"86,475"
NWG,NatWest Group Plc ADR,Financial,Banks - Regional,United Kingdom,46.69B,8.53,11.60,-0.68%,"4,721,531"
NWPX,Northwest Pipe Co,Industrials,Metal Fabrication,USA,405.56M,11.99,40.82,1.22%,"17,123"
NXST,Nexstar Media Group Inc,Communication Services,Broadcasting,USA,5.15B,7.63,168.79,0.14%,"58,025"
OBK,Origin Bancorp Inc,Financial,Banks - Regional,USA,1.09B,14.29,35.05,1.18%,"17,252"
OBT,Orange County Bancorp Inc,Financial,Banks - Regional,USA,274.23M,11.18,24.06,1.93%,"1,843"
OCFC,OceanFirst Financial Corp,Financial,Banks - Regional,USA,1.01B,10.44,17.18,2.38%,"40,242"
OGN,Organon & Co,Healthcare,Drug Manufacturers - General,USA,3.90B,4.54,15.13,1.14%,"614,815"
OII,"Oceaneering International, Inc",Energy,Oil & Gas Equipment & Services,USA,2.01B,13.85,19.96,2.04%,"116,323"
OMC,"Omnicom Group, Inc",Communication Services,Advertising Agencies,USA,15.80B,10.79,80.41,1.17%,"1,440,292"
OMF,OneMain Holdings Inc,Financial,Credit Services,USA,5.62B,11.12,47.11,3.88%,"196,273"
ONIT,Onity Group Inc,Financial,Mortgage Finance,USA,237.01M,7.36,30.10,1.70%,"2,434"
OPAL,OPAL Fuels Inc,Utilities,Utilities - Regulated Gas,USA,359.49M,11.91,2.08,-4.15%,"107,411"
OPBK,OP Bancorp,Financial,Banks - Regional,USA,183.42M,8.90,12.38,-0.29%,"14,861"
OPHC,Optimumbank Holdings Inc,Financial,Banks - Regional,USA,52.18M,3.34,4.44,0.23%,"4,390"
ORI,Old Republic International Corp,Financial,Insurance - Property & Casualty,USA,9.14B,11.39,36.81,0.60%,"84,721"
OSK,Oshkosh Corp,Industrials,Farm & Heavy Construction Machinery,USA,6.16B,9.22,95.40,0.40%,"175,589"
OTEX,Open Text Corp,Technology,Software - Application,Canada,6.80B,10.49,25.76,2.60%,"256,034"
OVV,Ovintiv Inc,Energy,Oil & Gas E&P,USA,10.38B,9.50,39.88,3.04%,"478,705"
OZK,Bank OZK,Financial,Banks - Regional,USA,4.95B,7.11,43.66,1.68%,"107,062"
PAG,Penske Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,9.84B,10.73,147.47,-1.05%,"53,328"
PAGS,PagSeguro Digital Ltd,Technology,Software - Infrastructure,Brazil,2.56B,6.43,7.78,3.87%,"658,903"
PANL,Pangaea Logistics Solutions Ltd,Industrials,Marine Shipping,USA,360.65M,11.82,5.55,14.71%,"267,234"
PBR,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,48.91B,11.72,13.15,3.26%,"3,495,432"
PBR-A,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,32.22B,10.86,12.18,2.87%,"1,660,124"
PBYI,Puma Biotechnology Inc,Healthcare,Biotechnology,USA,168.43M,5.56,3.39,1.65%,"32,672"
PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery,USA,51.95B,12.52,99.00,0.58%,"600,919"
PCB,PCB Bancorp,Financial,Banks - Regional,USA,271.92M,10.97,19.06,2.86%,399
PCG,PG&E Corp,Utilities,Utilities - Regulated Electric,USA,36.23B,14.32,16.52,0.71%,"1,977,079"
PDS,Precision Drilling Corp,Energy,Oil & Gas Drilling,Canada,612.44M,7.98,44.90,3.53%,"15,823"
PEBO,"Peoples Bancorp, Inc. (Marietta, OH)",Financial,Banks - Regional,USA,1.05B,8.91,29.54,1.17%,"10,656"
PFG,Principal Financial Group Inc,Financial,Asset Management,USA,18.42B,12.23,81.65,1.38%,"93,118"
PHI,PLDT Inc ADR,Communication Services,Telecom Services,Philippines,5.07B,8.97,23.45,-0.19%,"6,849"
PHM,PulteGroup Inc,Consumer Cyclical,Residential Construction,USA,20.64B,6.93,101.95,0.85%,"263,075"
PK,Park Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,2.26B,11.03,11.20,2.77%,"755,025"
PKOH,Park-Ohio Holdings Corp,Industrials,Specialty Industrial Machinery,USA,310.95M,7.59,21.85,2.68%,710
PLAB,"Photronics, Inc",Technology,Semiconductor Equipment & Materials,USA,1.35B,9.02,21.24,2.29%,"93,429"
PLAY,Dave & Buster's Entertainment Inc,Communication Services,Entertainment,USA,665.14M,8.53,17.27,-0.89%,"274,284"
PLOW,Douglas Dynamics Inc,Consumer Cyclical,Auto Parts,USA,563.90M,10.48,24.42,1.19%,"10,404"
PLTK,Playtika Holding Corp,Communication Services,Electronic Gaming & Multimedia,Israel,1.74B,10.64,4.64,0.32%,"258,413"
PMT,Pennymac Mortgage Investment Trust,Real Estate,REIT - Mortgage,USA,1.25B,10.84,14.43,1.19%,"49,908"
PNC,PNC Financial Services Group Inc,Financial,Banks - Regional,USA,67.82B,12.46,171.36,1.49%,"235,413"
POR,Portland General Electric Co,Utilities,Utilities - Regulated Electric,USA,4.87B,14.71,44.44,0.29%,"132,314"
POWL,"Powell Industries, Inc",Industrials,Electrical Equipment & Parts,USA,2.09B,13.14,173.00,3.80%,"54,046"
PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,12.05B,11.12,50.80,1.05%,"193,539"
PRA,Proassurance Corporation,Financial,Insurance - Property & Casualty,USA,785.77M,14.91,15.36,0.07%,"12,656"
PRAA,PRA Group Inc,Financial,Credit Services,USA,749.50M,10.63,18.97,0.80%,"24,727"
PRG,PROG Holdings Inc,Industrials,Rental & Leasing Services,USA,1.08B,5.78,26.34,0.61%,"74,194"
PRKS,United Parks & Resorts Inc,Consumer Cyclical,Leisure,USA,2.54B,11.95,46.19,1.16%,"123,594"
PRU,Prudential Financial Inc,Financial,Insurance - Life,USA,37.77B,14.27,106.69,1.58%,"189,625"
PSHG,Performance Shipping Inc,Industrials,Marine Shipping,Greece,18.90M,1.40,1.52,-0.62%,"5,283"
PSIX,Power Solutions International Inc,Industrials,Specialty Industrial Machinery,USA,698.04M,12.84,30.35,5.60%,"67,624"
PVH,PVH Corp,Consumer Cyclical,Apparel Manufacturing,USA,3.52B,5.14,63.19,-1.23%,"228,275"
PXS,Pyxis Tankers Inc,Energy,Oil & Gas Midstream,Greece,35.86M,4.26,3.37,2.74%,"11,189"
QSG,QuantaSing Group Ltd ADR,Consumer Defensive,Education & Training Services,China,93.74M,2.57,2.71,-1.45%,"43,872"
R,"Ryder System, Inc",Industrials,Rental & Leasing Services,USA,5.70B,12.37,136.51,0.10%,"79,404"
RBB,RBB Bancorp,Financial,Banks - Regional,USA,303.62M,11.74,17.16,2.08%,546
RCI,Rogers Communications Inc,Communication Services,Telecom Services,Canada,15.02B,11.88,28.02,0.61%,"54,119"
RCKY,"Rocky Brands, Inc",Consumer Cyclical,Footwear & Accessories,USA,138.04M,12.19,18.52,1.09%,"3,904"
REI,Ring Energy Inc,Energy,Oil & Gas E&P,USA,231.95M,3.45,1.16,2.65%,"349,765"
REPX,Riley Exploration Permian Inc,Energy,Oil & Gas E&P,USA,610.54M,6.67,28.39,1.98%,"8,525"
RES,"RPC, Inc",Energy,Oil & Gas Equipment & Services,USA,1.15B,12.51,5.30,1.43%,"196,386"
REYN,Reynolds Consumer Products Inc,Consumer Cyclical,Packaging & Containers,USA,4.89B,13.88,23.29,-0.43%,"63,565"
RIO,Rio Tinto plc ADR,Basic Materials,Other Industrial Metals & Mining,United Kingdom,78.13B,8.86,62.32,1.83%,"639,763"
RITM,Rithm Capital Corporation,Real Estate,REIT - Mortgage,USA,6.04B,6.95,11.60,1.53%,"336,886"
RJF,"Raymond James Financial, Inc",Financial,Asset Management,USA,29.10B,13.87,141.99,1.56%,"181,907"
RM,Regional Management Corp,Financial,Credit Services,USA,291.02M,7.12,29.60,2.14%,"1,565"
RMR,RMR Group Inc,Real Estate,Real Estate Services,USA,547.09M,12.98,17.18,1.60%,"60,838"
RNR,RenaissanceRe Holdings Ltd,Financial,Insurance - Reinsurance,Bermuda,11.67B,6.75,236.96,0.31%,"49,170"
RNST,Renasant Corp,Financial,Banks - Regional,USA,2.15B,10.36,33.74,1.35%,"39,011"
ROCK,Gibraltar Industries Inc,Industrials,Building Products & Equipment,USA,1.97B,14.55,64.99,2.88%,"80,347"
RUSHA,Rush Enterprises Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4.19B,14.17,52.80,1.52%,"39,831"
RY,Royal Bank Of Canada,Financial,Banks - Diversified,Canada,156.13B,12.42,110.53,1.58%,"170,588"
RYAAY,Ryanair Holdings Plc ADR,Industrials,Airlines,Ireland,24.92B,14.31,46.72,0.69%,"650,439"
SAH,"Sonic Automotive, Inc",Consumer Cyclical,Auto & Truck Dealerships,USA,1.99B,9.49,58.62,-1.76%,"23,748"
SAN,Banco Santander S.A. ADR,Financial,Banks - Diversified,Spain,101.54B,8.05,6.71,3.99%,"2,028,471"
SB,"Safe Bulkers, Inc",Industrials,Marine Shipping,Monaco,396.34M,4.53,3.77,0.40%,"117,820"
SBFG,SB Financial Group Inc,Financial,Banks - Regional,USA,125.27M,11.18,19.17,-0.05%,"2,760"
SBGI,Sinclair Inc,Communication Services,Broadcasting,USA,974.44M,3.16,14.66,1.88%,"56,209"
SBH,Sally Beauty Holdings Inc,Consumer Cyclical,Specialty Retail,USA,922.65M,5.43,9.05,0.89%,"588,523"
SBLK,Star Bulk Carriers Corp,Industrials,Marine Shipping,Greece,1.94B,5.70,16.32,-0.52%,"806,979"
SBSI,Southside Bancshares Inc,Financial,Banks - Regional,USA,885.55M,10.00,29.14,1.01%,"2,716"
SCS,"Steelcase, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.24B,11.42,10.91,1.09%,"66,687"
SCSC,"Scansource, Inc",Technology,Electronics & Computer Distribution,USA,840.70M,14.11,35.83,1.67%,"15,110"
SCVL,"Shoe Carnival, Inc",Consumer Cyclical,Apparel Retail,USA,594.82M,8.05,21.89,1.85%,"69,554"
SDHC,Smith Douglas Homes Corp,Real Estate,Real Estate - Development,USA,817.74M,10.64,19.27,0.47%,"10,682"
SDRL,Seadrill Ltd,Energy,Oil & Gas Drilling,Bermuda,1.50B,3.80,24.23,2.41%,"129,452"
SEM,Select Medical Holdings Corporation,Healthcare,Medical Care Facilities,USA,2.16B,10.09,16.74,0.95%,"292,635"
SHBI,Shore Bancshares Inc,Financial,Banks - Regional,USA,450.91M,10.26,13.52,1.58%,"37,173"
SHEL,Shell Plc ADR,Energy,Oil & Gas Integrated,United Kingdom,205.82B,13.61,68.23,0.72%,"917,824"
SHG,Shinhan Financial Group Co. Ltd. ADR,Financial,Banks - Regional,South Korea,15.84B,5.11,31.76,0.41%,"30,524"
SHIP,Seanergy Maritime Holdings Corp,Industrials,Marine Shipping,Greece,149.44M,3.46,7.25,-1.09%,"60,838"
SHOO,Steven Madden Ltd,Consumer Cyclical,Footwear & Accessories,USA,1.83B,10.74,25.28,-1.57%,"354,843"
SIG,Signet Jewelers Ltd,Consumer Cyclical,Luxury Goods,Bermuda,2.05B,5.41,47.03,1.32%,"127,831"
SKM,SK Telecom Co Ltd ADR,Communication Services,Telecom Services,South Korea,8.15B,9.00,21.26,-1.07%,"56,026"
SKX,"Skechers U S A, Inc",Consumer Cyclical,Footwear & Accessories,USA,8.43B,13.60,56.45,0.86%,"313,241"
SKYW,Skywest Inc,Industrials,Airlines,USA,3.45B,11.01,85.57,1.99%,"56,871"
SLB,Schlumberger Ltd,Energy,Oil & Gas Equipment & Services,USA,55.77B,13.20,41.01,2.72%,"2,916,024"
SLF,"Sun Life Financial, Inc",Financial,Insurance - Diversified,Canada,31.46B,14.29,54.92,1.13%,"36,266"
SLVM,Sylvamo Corp,Basic Materials,Paper & Paper Products,USA,2.62B,8.98,64.65,1.58%,"32,132"
SM,SM Energy Co,Energy,Oil & Gas E&P,USA,3.35B,4.39,29.27,1.76%,"260,017"
SMBK,SmartFinancial Inc,Financial,Banks - Regional,USA,536.73M,14.81,31.71,2.06%,664
SMFG,Sumitomo Mitsui Financial Group Inc ADR,Financial,Banks - Diversified,Japan,101.87B,12.08,15.89,2.62%,"211,181"
SMP,"Standard Motor Products, Inc",Consumer Cyclical,Auto Parts,USA,574.09M,10.88,26.26,0.31%,"21,837"
SNCY,Sun Country Airlines Holdings Inc,Industrials,Airlines,USA,680.95M,13.39,12.81,0.00%,"158,344"
SNEX,StoneX Group Inc,Financial,Capital Markets,USA,3.53B,13.17,110.14,2.67%,"13,542"
SNV,Synovus Financial Corp,Financial,Banks - Regional,USA,6.37B,14.81,45.17,2.23%,"232,456"
SPFI,South Plains Financial Inc,Financial,Banks - Regional,USA,538.64M,11.20,32.67,0.91%,"1,140"
SRTS,Sensus Healthcare Inc,Healthcare,Medical Devices,USA,74.97M,11.18,4.55,2.60%,"15,443"
SSBK,Southern States Bancshares Inc,Financial,Banks - Regional,USA,318.29M,8.79,32.20,1.26%,380
SSP,E.W. Scripps Co,Communication Services,Broadcasting,USA,232.79M,2.72,2.68,-1.65%,"875,043"
STLA,Stellantis N.V,Consumer Cyclical,Auto Manufacturers,Netherlands,34.90B,6.24,12.18,2.98%,"4,631,050"
STLD,Steel Dynamics Inc,Basic Materials,Steel,USA,18.93B,12.88,126.06,2.28%,"154,451"
STM,ST Microelectronics,Technology,Semiconductors,Netherlands,21.84B,14.80,24.54,2.61%,"923,643"
STNG,Scorpio Tankers Inc,Energy,Oil & Gas Midstream,Monaco,1.95B,2.99,39.02,0.67%,"87,344"
STRL,Sterling Infrastructure Inc,Industrials,Engineering & Construction,USA,3.72B,14.71,121.65,3.26%,"72,286"
STRT,Strattec Security Corp,Consumer Cyclical,Auto Parts,USA,186.43M,11.16,44.69,2.02%,"4,442"
STT,State Street Corp,Financial,Asset Management,USA,24.92B,10.49,86.38,2.26%,"363,504"
SU,"Suncor Energy, Inc",Energy,Oil & Gas Integrated,Canada,44.81B,10.50,36.22,1.12%,"414,803"
SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,USA,8.88B,8.79,58.16,1.27%,"23,045"
SUPV,Grupo Supervielle S.A. ADR,Financial,Banks - Regional,Argentina,1.08B,7.59,13.66,4.12%,"208,924"
SXC,SunCoke Energy Inc,Basic Materials,Coking Coal,USA,782.03M,8.25,9.27,1.21%,"76,137"
SYF,Synchrony Financial,Financial,Credit Services,USA,20.39B,6.15,52.46,1.07%,"1,147,303"
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA,12.00B,11.06,59.17,0.70%,"192,724"
TCBX,Third Coast Bancshares Inc,Financial,Banks - Regional,USA,447.93M,12.98,32.49,2.54%,"4,707"
TDW,Tidewater Inc,Energy,Oil & Gas Equipment & Services,USA,2.08B,11.89,40.49,1.39%,"127,789"
TEN,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,Greece,476.70M,2.95,16.16,1.93%,"67,429"
TEX,Terex Corp,Industrials,Farm & Heavy Construction Machinery,USA,2.66B,8.08,40.00,2.14%,"102,435"
TGNA,TEGNA Inc,Communication Services,Broadcasting,USA,2.80B,4.94,17.51,0.75%,"121,232"
TGT,Target Corp,Consumer Defensive,Discount Stores,USA,47.38B,11.74,104.00,-0.48%,"1,661,838"
THC,Tenet Healthcare Corp,Healthcare,Medical Care Facilities,USA,11.49B,3.75,120.81,1.08%,"196,357"
THFF,First Financial Corp. - Indiana,Financial,Banks - Regional,USA,579.16M,12.21,48.86,0.53%,"5,933"
